,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool,cluster
1742,Downtown Dubai,4600000,2019,2278.36,3,4,False,True,False,False,False,False,False,True,0
1743,Jumeirah Lake Towers,674000,940,717.02,1,2,False,False,False,False,False,False,False,True,2
1744,Downtown Dubai,1490000,1198,1243.74,2,3,False,False,False,False,False,False,False,False,1
1745,Dubai Marina,1300000,822,1581.51,1,2,False,True,True,False,False,False,False,True,2
1746,The Views,1750000,1642,1065.77,2,2,False,False,False,False,False,False,False,True,1
1747,Jumeirah Village Circle,559999,1071,522.87,1,2,False,False,False,False,False,False,False,True,2
1748,Dubai Marina,850000,1328,640.06,2,3,False,True,False,False,False,False,False,False,1
1749,Mirdif,1419000,1330,1066.92,2,3,True,False,True,False,False,False,False,True,1
1750,Mirdif,1696000,1600,1060.0,3,3,True,False,True,False,False,False,False,True,1
1751,Downtown Dubai,2500000,1329,1881.11,2,3,False,True,False,False,False,False,False,True,1
1752,Business Bay,1590000,1325,1200.0,2,3,False,True,True,False,False,True,False,False,1
1753,Downtown Dubai,1400000,1356,1032.45,2,3,False,False,False,False,False,False,False,True,1
1754,Jumeirah Lake Towers,385000,398,967.34,0,1,False,True,False,False,False,False,False,True,2
1755,Dubai Hills Estate,1700000,1541,1103.18,2,3,False,True,False,False,False,False,False,True,1
1756,Dubai Hills Estate,1500000,1315,1140.68,2,3,False,True,True,False,False,False,False,True,1
1757,Business Bay,1150000,943,1219.51,1,2,False,False,False,False,False,False,False,True,2
1758,Downtown Dubai,1500000,856,1752.34,1,2,False,False,False,False,False,False,False,True,2
1759,Business Bay,799999,929,861.14,1,2,False,False,False,False,False,False,False,True,2
1760,Business Bay,2425000,2000,1212.5,3,5,True,False,False,False,False,False,False,True,0
1761,Business Bay,1698000,1512,1123.02,2,3,True,False,True,False,False,False,True,True,1
1762,Umm Suqeim,2300000,1623,1417.13,2,2,False,False,False,False,False,False,False,True,1
1763,Dubai Marina,4950888,2334,2121.2,4,4,False,False,True,False,False,False,False,True,0
1764,Jumeirah,1366000,816,1674.02,1,1,False,True,False,False,False,False,False,True,2
1765,Jumeirah,4905000,1574,3116.26,1,1,True,False,False,False,False,False,False,True,0
1766,Jumeirah,9209000,2249,4094.71,2,2,True,False,False,False,False,False,False,True,0
1767,DAMAC Hills,730000,777,939.51,1,1,False,False,False,False,False,False,False,False,2
1768,Downtown Dubai,1200000,1026,1169.59,1,2,False,False,False,False,False,False,False,True,2
1769,Downtown Dubai,3499888,1639,2135.38,2,3,False,True,False,False,False,False,False,True,0
1770,Downtown Dubai,2099888,1133,1853.39,1,2,False,False,False,False,False,False,False,True,2
1771,Business Bay,1375000,1270,1082.68,2,2,False,False,False,False,False,False,False,True,1
1772,Dubai Marina,1400000,1371,1021.15,2,3,False,False,False,False,False,False,False,True,1
1773,Downtown Dubai,1000000,909,1100.11,1,2,False,False,False,False,False,False,False,True,2
1774,Dubai Marina,1980000,1853,1068.54,3,3,False,False,False,False,False,False,False,True,1
1775,Jumeirah Village Circle,1113661,1194,932.71,2,3,False,False,False,False,False,False,False,True,1
1776,Jumeirah Village Circle,649411,690,941.18,1,1,False,False,False,False,False,False,False,True,2
1777,Dubai Hills Estate,1850000,1638,1129.43,3,4,False,False,False,False,False,False,False,True,1
1778,Discovery Gardens,420000,947,443.51,1,2,False,False,False,False,False,False,False,True,2
1779,Downtown Dubai,2600000,1485,1750.84,2,3,False,False,True,False,False,False,False,False,1
1780,International City,550000,824,667.48,1,2,False,False,False,False,False,False,False,True,2
