,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool
48,Dubai Marina,2800000,3172,882.72,4,5,False,False,False,False,False,False,False,False
49,DAMAC Hills,365000,451,809.31,0,1,False,False,True,False,False,False,False,True
50,Palm Jumeirah,1980000,935,2117.65,1,1,False,True,False,False,False,False,False,True
51,Dubai Marina,2300000,775,2967.74,1,2,False,False,True,False,False,False,False,True
52,Dubai Marina,2200000,1277,1722.79,2,3,False,False,True,False,False,False,False,True
53,Dubai Creek Harbour (The Lagoons),1270000,981,1294.6,1,2,False,False,False,False,False,False,False,True
54,Jumeirah Beach Residence,2650000,1703,1556.08,2,2,False,False,False,False,False,False,False,False
55,Jumeirah Lake Towers,375000,450,833.33,0,1,False,False,True,False,False,False,False,True
56,Jumeirah Golf Estates,1150000,1367,841.26,2,3,False,False,True,False,False,False,False,False
57,Business Bay,2400000,1965,1221.37,3,4,False,False,False,False,False,False,False,True
58,Business Bay,1700000,1358,1251.84,2,3,False,True,False,False,False,False,False,True
59,Business Bay,1709847,1367,1250.8,2,3,False,False,False,False,False,False,False,True
60,Jumeirah,12000000,2631,4561.0,3,5,False,False,False,False,False,False,False,True
61,Dubai Hills Estate,1850000,1993,928.25,3,4,True,False,True,False,False,False,False,True
62,Umm Suqeim,2090000,1365,1531.14,2,3,False,False,False,False,False,False,False,False
63,Meydan,1425000,1535,928.34,2,3,False,False,False,False,False,False,False,False
64,Dubai Marina,1595000,1350,1181.48,2,2,False,False,False,False,False,False,False,False
65,Dubai Marina,975000,627,1555.02,1,1,False,True,False,False,False,False,False,True
66,Jumeirah Beach Residence,3400000,1672,2033.49,2,3,False,True,False,False,False,False,False,True
67,Business Bay,2050000,2197,933.09,3,4,True,False,False,False,False,False,False,True
68,Motor City,995000,1670,595.81,2,1,False,False,False,False,False,False,False,False
69,Dubai Hills Estate,1300000,1182,1099.83,2,3,False,False,True,False,False,False,False,True
70,Motor City,1100000,1670,658.68,2,3,False,False,True,False,False,False,False,True
71,DAMAC Hills,750000,851,881.32,1,2,False,False,False,False,False,False,False,False
72,DIFC,1999999,1755,1139.6,2,2,False,False,True,False,False,False,False,True
73,Downtown Dubai,2990000,1903,1571.2,3,4,False,True,False,False,False,False,False,False
74,Palm Jumeirah,2400000,1717,1397.79,2,3,True,True,False,False,False,False,False,True
75,Downtown Dubai,2600000,1360,1911.76,2,3,False,False,False,False,False,False,False,False
76,Dubai Marina,2000000,1477,1354.1,2,3,False,False,False,False,False,False,False,True
77,Downtown Dubai,1800000,1622,1109.74,2,3,False,False,False,False,False,False,False,False
